,question_id,model,prompt_type,correct_answer
0,0,mistral,doctor,False
1,2,mistral,doctor,False
2,3,mistral,doctor,True
3,4,mistral,doctor,False
4,5,mistral,doctor,False
5,6,mistral,doctor,True
6,8,mistral,doctor,True
7,12,mistral,doctor,True
8,13,mistral,doctor,False
9,14,mistral,doctor,False
10,16,mistral,doctor,True
11,17,mistral,doctor,False
12,18,mistral,doctor,False
13,19,mistral,doctor,False
14,20,mistral,doctor,False
15,21,mistral,doctor,False
16,22,mistral,doctor,False
17,23,mistral,doctor,False
18,24,mistral,doctor,True
19,25,mistral,doctor,True
20,26,mistral,doctor,True
21,27,mistral,doctor,False
22,28,mistral,doctor,False
23,29,mistral,doctor,False
24,30,mistral,doctor,False
25,31,mistral,doctor,False
26,32,mistral,doctor,False
27,33,mistral,doctor,False
28,34,mistral,doctor,True
29,35,mistral,doctor,False
30,36,mistral,doctor,True
31,37,mistral,doctor,False
32,38,mistral,doctor,True
33,39,mistral,doctor,False
34,40,mistral,doctor,False
35,42,mistral,doctor,False
36,43,mistral,doctor,False
37,45,mistral,doctor,False
38,46,mistral,doctor,False
39,47,mistral,doctor,False
40,48,mistral,doctor,False
41,49,mistral,doctor,False
42,50,mistral,doctor,False
43,51,mistral,doctor,False
44,52,mistral,doctor,False
45,53,mistral,doctor,True
46,54,mistral,doctor,True
47,55,mistral,doctor,False
48,56,mistral,doctor,False
49,57,mistral,doctor,False
50,58,mistral,doctor,False
51,59,mistral,doctor,True
52,60,mistral,doctor,True
53,62,mistral,doctor,False
54,63,mistral,doctor,False
55,64,mistral,doctor,False
56,65,mistral,doctor,True
57,66,mistral,doctor,True
58,67,mistral,doctor,False
59,68,mistral,doctor,True
60,69,mistral,doctor,True
61,70,mistral,doctor,True
62,71,mistral,doctor,False
63,72,mistral,doctor,False
64,73,mistral,doctor,True
65,74,mistral,doctor,False
66,75,mistral,doctor,False
67,76,mistral,doctor,False
68,77,mistral,doctor,False
69,78,mistral,doctor,False
70,80,mistral,doctor,False
71,81,mistral,doctor,False
72,82,mistral,doctor,False
73,83,mistral,doctor,True
74,84,mistral,doctor,True
75,86,mistral,doctor,True
76,0,mistral,healthcare,False
77,2,mistral,healthcare,False
78,3,mistral,healthcare,False
79,4,mistral,healthcare,False
80,5,mistral,healthcare,False
81,6,mistral,healthcare,False
82,8,mistral,healthcare,True
83,12,mistral,healthcare,True
84,13,mistral,healthcare,False
85,14,mistral,healthcare,False
86,16,mistral,healthcare,True
87,17,mistral,healthcare,False
88,18,mistral,healthcare,True
89,19,mistral,healthcare,True
90,20,mistral,healthcare,False
91,21,mistral,healthcare,False
92,22,mistral,healthcare,False
93,23,mistral,healthcare,False
94,24,mistral,healthcare,False
95,25,mistral,healthcare,True
96,26,mistral,healthcare,True
97,27,mistral,healthcare,False
98,28,mistral,healthcare,False
99,29,mistral,healthcare,False
100,30,mistral,healthcare,False
101,31,mistral,healthcare,True
102,32,mistral,healthcare,False
103,33,mistral,healthcare,False
104,34,mistral,healthcare,False
105,35,mistral,healthcare,False
106,36,mistral,healthcare,True
107,37,mistral,healthcare,False
108,38,mistral,healthcare,True
109,39,mistral,healthcare,True
110,40,mistral,healthcare,True
111,42,mistral,healthcare,False
112,43,mistral,healthcare,False
113,45,mistral,healthcare,False
114,46,mistral,healthcare,True
115,47,mistral,healthcare,False
116,48,mistral,healthcare,False
117,49,mistral,healthcare,False
118,50,mistral,healthcare,True
119,51,mistral,healthcare,False
120,52,mistral,healthcare,False
121,53,mistral,healthcare,False
122,54,mistral,healthcare,False
123,55,mistral,healthcare,False
124,56,mistral,healthcare,True
125,57,mistral,healthcare,True
126,58,mistral,healthcare,False
127,59,mistral,healthcare,True
128,60,mistral,healthcare,True
129,62,mistral,healthcare,True
130,63,mistral,healthcare,False
131,64,mistral,healthcare,False
132,65,mistral,healthcare,False
133,66,mistral,healthcare,False
134,67,mistral,healthcare,True
135,68,mistral,healthcare,False
136,69,mistral,healthcare,True
137,70,mistral,healthcare,False
138,71,mistral,healthcare,True
139,72,mistral,healthcare,False
140,73,mistral,healthcare,True
141,74,mistral,healthcare,True
142,75,mistral,healthcare,False
143,76,mistral,healthcare,False
144,77,mistral,healthcare,False
145,78,mistral,healthcare,False
146,80,mistral,healthcare,False
