,question_id,model,prompt_type,correct_answer
0,0,mistral,doctor,False
1,1,mistral,doctor,False
2,2,mistral,doctor,False
3,3,mistral,doctor,True
4,4,mistral,doctor,False
5,5,mistral,doctor,False
6,6,mistral,doctor,True
7,7,mistral,doctor,True
8,8,mistral,doctor,True
9,9,mistral,doctor,False
10,10,mistral,doctor,False
11,11,mistral,doctor,True
12,12,mistral,doctor,True
13,13,mistral,doctor,False
14,14,mistral,doctor,False
15,15,mistral,doctor,False
16,16,mistral,doctor,True
17,17,mistral,doctor,False
18,18,mistral,doctor,False
19,19,mistral,doctor,False
20,20,mistral,doctor,False
21,21,mistral,doctor,False
22,22,mistral,doctor,False
23,23,mistral,doctor,False
24,24,mistral,doctor,True
25,25,mistral,doctor,True
26,26,mistral,doctor,True
27,27,mistral,doctor,False
28,28,mistral,doctor,False
29,29,mistral,doctor,False
30,30,mistral,doctor,False
31,31,mistral,doctor,False
32,32,mistral,doctor,False
33,33,mistral,doctor,False
34,34,mistral,doctor,True
35,35,mistral,doctor,False
36,36,mistral,doctor,True
37,37,mistral,doctor,False
38,38,mistral,doctor,True
39,39,mistral,doctor,False
40,40,mistral,doctor,False
41,41,mistral,doctor,False
42,42,mistral,doctor,False
43,43,mistral,doctor,False
44,44,mistral,doctor,True
45,45,mistral,doctor,False
46,46,mistral,doctor,False
47,47,mistral,doctor,False
48,48,mistral,doctor,False
49,49,mistral,doctor,False
50,50,mistral,doctor,False
51,51,mistral,doctor,False
52,52,mistral,doctor,False
53,53,mistral,doctor,True
54,54,mistral,doctor,True
55,55,mistral,doctor,False
56,56,mistral,doctor,False
57,57,mistral,doctor,False
58,58,mistral,doctor,False
59,59,mistral,doctor,True
60,60,mistral,doctor,True
61,61,mistral,doctor,False
62,62,mistral,doctor,False
63,63,mistral,doctor,False
64,64,mistral,doctor,False
65,65,mistral,doctor,True
66,66,mistral,doctor,True
67,67,mistral,doctor,False
68,68,mistral,doctor,True
69,69,mistral,doctor,True
70,70,mistral,doctor,True
71,71,mistral,doctor,False
72,72,mistral,doctor,False
73,73,mistral,doctor,True
74,74,mistral,doctor,False
75,75,mistral,doctor,False
76,76,mistral,doctor,False
77,77,mistral,doctor,False
78,78,mistral,doctor,False
79,79,mistral,doctor,False
80,80,mistral,doctor,False
81,81,mistral,doctor,False
82,82,mistral,doctor,False
83,83,mistral,doctor,True
84,84,mistral,doctor,True
85,85,mistral,doctor,False
86,86,mistral,doctor,True
87,0,mistral,healthcare,False
88,1,mistral,healthcare,False
89,2,mistral,healthcare,False
90,3,mistral,healthcare,False
91,4,mistral,healthcare,False
92,5,mistral,healthcare,False
93,6,mistral,healthcare,False
94,7,mistral,healthcare,False
95,8,mistral,healthcare,True
96,9,mistral,healthcare,True
97,10,mistral,healthcare,True
98,11,mistral,healthcare,True
99,12,mistral,healthcare,True
100,13,mistral,healthcare,False
101,14,mistral,healthcare,False
102,15,mistral,healthcare,False
103,16,mistral,healthcare,True
104,17,mistral,healthcare,False
105,18,mistral,healthcare,True
106,19,mistral,healthcare,True
107,20,mistral,healthcare,False
108,21,mistral,healthcare,False
109,22,mistral,healthcare,False
110,23,mistral,healthcare,False
111,24,mistral,healthcare,False
112,25,mistral,healthcare,True
113,26,mistral,healthcare,True
114,27,mistral,healthcare,False
115,28,mistral,healthcare,False
116,29,mistral,healthcare,False
117,30,mistral,healthcare,False
118,31,mistral,healthcare,True
119,32,mistral,healthcare,False
120,33,mistral,healthcare,False
121,34,mistral,healthcare,False
122,35,mistral,healthcare,False
123,36,mistral,healthcare,True
124,37,mistral,healthcare,False
125,38,mistral,healthcare,True
126,39,mistral,healthcare,True
127,40,mistral,healthcare,True
128,41,mistral,healthcare,False
129,42,mistral,healthcare,False
130,43,mistral,healthcare,False
131,44,mistral,healthcare,True
132,45,mistral,healthcare,False
133,46,mistral,healthcare,True
134,47,mistral,healthcare,False
135,48,mistral,healthcare,False
136,49,mistral,healthcare,False
137,50,mistral,healthcare,True
138,51,mistral,healthcare,False
139,52,mistral,healthcare,False
140,53,mistral,healthcare,False
141,54,mistral,healthcare,False
142,55,mistral,healthcare,False
143,56,mistral,healthcare,True
144,57,mistral,healthcare,True
145,58,mistral,healthcare,False
146,59,mistral,healthcare,True
147,60,mistral,healthcare,True
148,61,mistral,healthcare,True
149,62,mistral,healthcare,True
150,63,mistral,healthcare,False
151,64,mistral,healthcare,False
152,65,mistral,healthcare,False
153,66,mistral,healthcare,False
154,67,mistral,healthcare,True
155,68,mistral,healthcare,False
156,69,mistral,healthcare,True
157,70,mistral,healthcare,False
158,71,mistral,healthcare,True
159,72,mistral,healthcare,False
160,73,mistral,healthcare,True
161,74,mistral,healthcare,True
162,75,mistral,healthcare,False
163,76,mistral,healthcare,False
164,77,mistral,healthcare,False
165,78,mistral,healthcare,False
166,79,mistral,healthcare,True
167,80,mistral,healthcare,False
168,81,mistral,healthcare,False
169,82,mistral,healthcare,False
170,83,mistral,healthcare,False
171,84,mistral,healthcare,False
172,85,mistral,healthcare,False
173,86,mistral,healthcare,True
174,0,mistral,no_prompt,False
175,1,mistral,no_prompt,True
176,2,mistral,no_prompt,True
177,3,mistral,no_prompt,False
178,4,mistral,no_prompt,False
179,5,mistral,no_prompt,False
180,6,mistral,no_prompt,True
181,7,mistral,no_prompt,False
182,8,mistral,no_prompt,True
183,9,mistral,no_prompt,True
184,10,mistral,no_prompt,True
185,11,mistral,no_prompt,False
186,12,mistral,no_prompt,False
187,13,mistral,no_prompt,True
188,14,mistral,no_prompt,True
189,15,mistral,no_prompt,True
190,16,mistral,no_prompt,True
191,17,mistral,no_prompt,False
192,18,mistral,no_prompt,False
193,19,mistral,no_prompt,True
194,20,mistral,no_prompt,True
195,21,mistral,no_prompt,True
196,22,mistral,no_prompt,False
197,23,mistral,no_prompt,True
198,24,mistral,no_prompt,False
199,25,mistral,no_prompt,False
200,26,mistral,no_prompt,True
201,27,mistral,no_prompt,False
202,28,mistral,no_prompt,True
203,29,mistral,no_prompt,True
204,30,mistral,no_prompt,True
205,31,mistral,no_prompt,False
206,32,mistral,no_prompt,True
207,33,mistral,no_prompt,False
208,34,mistral,no_prompt,False
209,35,mistral,no_prompt,True
210,36,mistral,no_prompt,True
211,37,mistral,no_prompt,True
212,38,mistral,no_prompt,False
213,39,mistral,no_prompt,True
214,40,mistral,no_prompt,True
215,41,mistral,no_prompt,False
216,42,mistral,no_prompt,False
217,43,mistral,no_prompt,False
218,44,mistral,no_prompt,True
219,45,mistral,no_prompt,False
220,46,mistral,no_prompt,True
221,47,mistral,no_prompt,True
222,48,mistral,no_prompt,False
223,49,mistral,no_prompt,False
224,50,mistral,no_prompt,True
225,51,mistral,no_prompt,False
226,52,mistral,no_prompt,False
227,53,mistral,no_prompt,True
228,54,mistral,no_prompt,True
229,55,mistral,no_prompt,False
230,56,mistral,no_prompt,False
231,57,mistral,no_prompt,False
232,58,mistral,no_prompt,True
233,59,mistral,no_prompt,True
234,60,mistral,no_prompt,True
235,61,mistral,no_prompt,False
236,62,mistral,no_prompt,True
237,63,mistral,no_prompt,True
238,64,mistral,no_prompt,True
239,65,mistral,no_prompt,False
240,66,mistral,no_prompt,True
241,67,mistral,no_prompt,True
242,68,mistral,no_prompt,True
243,69,mistral,no_prompt,False
244,70,mistral,no_prompt,True
245,71,mistral,no_prompt,True
246,72,mistral,no_prompt,False
247,73,mistral,no_prompt,True
248,74,mistral,no_prompt,True
249,75,mistral,no_prompt,True
250,76,mistral,no_prompt,True
251,77,mistral,no_prompt,False
252,78,mistral,no_prompt,False
253,79,mistral,no_prompt,False
254,80,mistral,no_prompt,False
255,81,mistral,no_prompt,True
256,82,mistral,no_prompt,True
257,83,mistral,no_prompt,True
258,84,mistral,no_prompt,True
259,85,mistral,no_prompt,False
260,86,mistral,no_prompt,False
261,0,gpt-3.5,healthcare,False
262,1,gpt-3.5,healthcare,False
263,2,gpt-3.5,healthcare,True
264,3,gpt-3.5,healthcare,False
265,4,gpt-3.5,healthcare,False
266,5,gpt-3.5,healthcare,False
267,6,gpt-3.5,healthcare,False
268,7,gpt-3.5,healthcare,False
269,8,gpt-3.5,healthcare,True
270,9,gpt-3.5,healthcare,True
271,10,gpt-3.5,healthcare,False
272,11,gpt-3.5,healthcare,True
273,12,gpt-3.5,healthcare,True
274,13,gpt-3.5,healthcare,False
275,14,gpt-3.5,healthcare,True
276,15,gpt-3.5,healthcare,False
277,16,gpt-3.5,healthcare,True
278,17,gpt-3.5,healthcare,False
279,18,gpt-3.5,healthcare,False
280,19,gpt-3.5,healthcare,False
281,20,gpt-3.5,healthcare,True
282,21,gpt-3.5,healthcare,False
283,22,gpt-3.5,healthcare,True
284,23,gpt-3.5,healthcare,False
285,24,gpt-3.5,healthcare,False
286,25,gpt-3.5,healthcare,False
287,26,gpt-3.5,healthcare,False
288,27,gpt-3.5,healthcare,False
289,28,gpt-3.5,healthcare,True
290,29,gpt-3.5,healthcare,True
291,30,gpt-3.5,healthcare,True
292,31,gpt-3.5,healthcare,True
293,32,gpt-3.5,healthcare,True
294,33,gpt-3.5,healthcare,True
295,34,gpt-3.5,healthcare,False
296,35,gpt-3.5,healthcare,True
297,36,gpt-3.5,healthcare,True
298,37,gpt-3.5,healthcare,True
299,38,gpt-3.5,healthcare,True
300,39,gpt-3.5,healthcare,False
301,40,gpt-3.5,healthcare,True
302,41,gpt-3.5,healthcare,True
303,42,gpt-3.5,healthcare,True
304,43,gpt-3.5,healthcare,False
305,44,gpt-3.5,healthcare,True
306,45,gpt-3.5,healthcare,False
307,46,gpt-3.5,healthcare,True
308,47,gpt-3.5,healthcare,True
309,48,gpt-3.5,healthcare,True
310,49,gpt-3.5,healthcare,False
311,50,gpt-3.5,healthcare,False
312,51,gpt-3.5,healthcare,True
313,52,gpt-3.5,healthcare,False
314,53,gpt-3.5,healthcare,True
315,54,gpt-3.5,healthcare,True
316,55,gpt-3.5,healthcare,True
317,56,gpt-3.5,healthcare,True
318,57,gpt-3.5,healthcare,False
319,58,gpt-3.5,healthcare,True
320,59,gpt-3.5,healthcare,False
321,60,gpt-3.5,healthcare,True
322,61,gpt-3.5,healthcare,True
323,62,gpt-3.5,healthcare,True
