,question_id,model,syntax,prompt_type,correct_answer
261,0,haiku,paper,no_prompt,False
262,1,haiku,paper,no_prompt,False
263,2,haiku,paper,no_prompt,True
264,3,haiku,paper,no_prompt,False
265,4,haiku,paper,no_prompt,True
266,5,haiku,paper,no_prompt,False
267,6,haiku,paper,no_prompt,True
268,7,haiku,paper,no_prompt,False
269,8,haiku,paper,no_prompt,True
270,9,haiku,paper,no_prompt,True
271,10,haiku,paper,no_prompt,False
272,11,haiku,paper,no_prompt,True
273,12,haiku,paper,no_prompt,True
274,13,haiku,paper,no_prompt,False
275,14,haiku,paper,no_prompt,True
276,15,haiku,paper,no_prompt,True
277,16,haiku,paper,no_prompt,True
278,17,haiku,paper,no_prompt,True
279,18,haiku,paper,no_prompt,False
280,19,haiku,paper,no_prompt,False
281,20,haiku,paper,no_prompt,True
282,21,haiku,paper,no_prompt,False
283,22,haiku,paper,no_prompt,True
284,23,haiku,paper,no_prompt,True
285,24,haiku,paper,no_prompt,True
286,25,haiku,paper,no_prompt,True
287,26,haiku,paper,no_prompt,False
288,27,haiku,paper,no_prompt,True
289,28,haiku,paper,no_prompt,True
290,29,haiku,paper,no_prompt,True
291,30,haiku,paper,no_prompt,True
292,31,haiku,paper,no_prompt,True
293,32,haiku,paper,no_prompt,True
294,33,haiku,paper,no_prompt,False
295,34,haiku,paper,no_prompt,False
296,35,haiku,paper,no_prompt,False
297,36,haiku,paper,no_prompt,True
298,37,haiku,paper,no_prompt,True
299,38,haiku,paper,no_prompt,False
300,39,haiku,paper,no_prompt,False
301,40,haiku,paper,no_prompt,True
302,41,haiku,paper,no_prompt,False
303,42,haiku,paper,no_prompt,True
304,43,haiku,paper,no_prompt,False
305,44,haiku,paper,no_prompt,True
306,45,haiku,paper,no_prompt,True
307,46,haiku,paper,no_prompt,True
308,47,haiku,paper,no_prompt,False
309,48,haiku,paper,no_prompt,False
310,49,haiku,paper,no_prompt,True
311,50,haiku,paper,no_prompt,False
312,51,haiku,paper,no_prompt,True
313,52,haiku,paper,no_prompt,True
314,53,haiku,paper,no_prompt,True
315,54,haiku,paper,no_prompt,True
316,55,haiku,paper,no_prompt,True
317,56,haiku,paper,no_prompt,True
318,57,haiku,paper,no_prompt,True
319,58,haiku,paper,no_prompt,False
320,59,haiku,paper,no_prompt,False
321,60,haiku,paper,no_prompt,True
322,61,haiku,paper,no_prompt,True
323,62,haiku,paper,no_prompt,True
324,63,haiku,paper,no_prompt,False
325,64,haiku,paper,no_prompt,False
326,65,haiku,paper,no_prompt,True
327,66,haiku,paper,no_prompt,False
328,67,haiku,paper,no_prompt,True
329,68,haiku,paper,no_prompt,False
330,69,haiku,paper,no_prompt,False
331,70,haiku,paper,no_prompt,True
332,71,haiku,paper,no_prompt,False
333,72,haiku,paper,no_prompt,True
334,73,haiku,paper,no_prompt,True
335,74,haiku,paper,no_prompt,True
336,75,haiku,paper,no_prompt,True
337,76,haiku,paper,no_prompt,False
338,77,haiku,paper,no_prompt,False
339,78,haiku,paper,no_prompt,False
340,79,haiku,paper,no_prompt,True
341,80,haiku,paper,no_prompt,False
342,81,haiku,paper,no_prompt,True
343,82,haiku,paper,no_prompt,False
344,83,haiku,paper,no_prompt,True
345,84,haiku,paper,no_prompt,True
346,85,haiku,paper,no_prompt,True
347,86,haiku,paper,no_prompt,True
348,0,haiku,paper,deontology,False
349,1,haiku,paper,deontology,True
350,2,haiku,paper,deontology,True
351,3,haiku,paper,deontology,False
352,4,haiku,paper,deontology,True
353,5,haiku,paper,deontology,False
354,6,haiku,paper,deontology,True
355,7,haiku,paper,deontology,False
356,8,haiku,paper,deontology,True
357,9,haiku,paper,deontology,True
358,10,haiku,paper,deontology,False
359,11,haiku,paper,deontology,True
360,12,haiku,paper,deontology,False
361,13,haiku,paper,deontology,False
362,14,haiku,paper,deontology,True
363,15,haiku,paper,deontology,False
364,16,haiku,paper,deontology,True
365,17,haiku,paper,deontology,True
366,18,haiku,paper,deontology,False
367,19,haiku,paper,deontology,False
368,20,haiku,paper,deontology,True
369,21,haiku,paper,deontology,False
370,22,haiku,paper,deontology,True
371,23,haiku,paper,deontology,True
372,24,haiku,paper,deontology,True
373,25,haiku,paper,deontology,True
374,26,haiku,paper,deontology,False
375,27,haiku,paper,deontology,True
376,28,haiku,paper,deontology,True
377,29,haiku,paper,deontology,True
378,30,haiku,paper,deontology,True
379,31,haiku,paper,deontology,True
380,32,haiku,paper,deontology,True
