,question_id,model,syntax,prompt_type,correct_answer
0,0,gpt-3.5,paper,healthcare,False
1,1,gpt-3.5,paper,healthcare,False
2,2,gpt-3.5,paper,healthcare,True
3,3,gpt-3.5,paper,healthcare,False
4,4,gpt-3.5,paper,healthcare,False
5,5,gpt-3.5,paper,healthcare,False
6,6,gpt-3.5,paper,healthcare,False
7,7,gpt-3.5,paper,healthcare,False
8,8,gpt-3.5,paper,healthcare,True
9,9,gpt-3.5,paper,healthcare,True
10,10,gpt-3.5,paper,healthcare,False
11,11,gpt-3.5,paper,healthcare,True
12,12,gpt-3.5,paper,healthcare,True
13,13,gpt-3.5,paper,healthcare,False
14,14,gpt-3.5,paper,healthcare,True
15,15,gpt-3.5,paper,healthcare,False
16,16,gpt-3.5,paper,healthcare,True
17,17,gpt-3.5,paper,healthcare,False
18,18,gpt-3.5,paper,healthcare,False
19,19,gpt-3.5,paper,healthcare,False
20,20,gpt-3.5,paper,healthcare,True
21,21,gpt-3.5,paper,healthcare,False
22,22,gpt-3.5,paper,healthcare,True
23,23,gpt-3.5,paper,healthcare,False
24,24,gpt-3.5,paper,healthcare,False
25,25,gpt-3.5,paper,healthcare,False
26,26,gpt-3.5,paper,healthcare,False
27,27,gpt-3.5,paper,healthcare,False
28,28,gpt-3.5,paper,healthcare,True
29,29,gpt-3.5,paper,healthcare,True
30,30,gpt-3.5,paper,healthcare,True
31,31,gpt-3.5,paper,healthcare,True
32,32,gpt-3.5,paper,healthcare,True
33,33,gpt-3.5,paper,healthcare,True
34,34,gpt-3.5,paper,healthcare,False
35,35,gpt-3.5,paper,healthcare,True
36,36,gpt-3.5,paper,healthcare,True
37,37,gpt-3.5,paper,healthcare,True
38,38,gpt-3.5,paper,healthcare,True
39,39,gpt-3.5,paper,healthcare,False
40,40,gpt-3.5,paper,healthcare,True
41,41,gpt-3.5,paper,healthcare,True
42,42,gpt-3.5,paper,healthcare,True
43,43,gpt-3.5,paper,healthcare,False
44,44,gpt-3.5,paper,healthcare,True
