,Unnamed: 0,question_id,model,syntax,prompt_type,correct_answer
0,261,0,gpt-3.5,paper,no_prompt,False
1,262,1,gpt-3.5,paper,no_prompt,False
2,263,2,gpt-3.5,paper,no_prompt,True
3,264,3,gpt-3.5,paper,no_prompt,False
4,265,4,gpt-3.5,paper,no_prompt,True
5,266,5,gpt-3.5,paper,no_prompt,False
6,267,6,gpt-3.5,paper,no_prompt,False
7,268,7,gpt-3.5,paper,no_prompt,True
8,269,8,gpt-3.5,paper,no_prompt,True
9,270,9,gpt-3.5,paper,no_prompt,True
10,271,10,gpt-3.5,paper,no_prompt,False
11,272,11,gpt-3.5,paper,no_prompt,True
12,273,12,gpt-3.5,paper,no_prompt,True
13,274,13,gpt-3.5,paper,no_prompt,False
14,275,14,gpt-3.5,paper,no_prompt,True
15,276,15,gpt-3.5,paper,no_prompt,False
16,277,16,gpt-3.5,paper,no_prompt,True
17,278,17,gpt-3.5,paper,no_prompt,False
18,279,18,gpt-3.5,paper,no_prompt,False
19,280,19,gpt-3.5,paper,no_prompt,False
20,281,20,gpt-3.5,paper,no_prompt,True
21,282,21,gpt-3.5,paper,no_prompt,False
22,283,22,gpt-3.5,paper,no_prompt,True
23,284,23,gpt-3.5,paper,no_prompt,True
24,285,24,gpt-3.5,paper,no_prompt,True
25,286,25,gpt-3.5,paper,no_prompt,False
26,287,26,gpt-3.5,paper,no_prompt,False
27,288,27,gpt-3.5,paper,no_prompt,False
28,289,28,gpt-3.5,paper,no_prompt,False
29,290,29,gpt-3.5,paper,no_prompt,True
30,291,30,gpt-3.5,paper,no_prompt,True
31,292,31,gpt-3.5,paper,no_prompt,True
32,293,32,gpt-3.5,paper,no_prompt,True
33,294,33,gpt-3.5,paper,no_prompt,True
34,295,34,gpt-3.5,paper,no_prompt,False
35,296,35,gpt-3.5,paper,no_prompt,True
36,297,36,gpt-3.5,paper,no_prompt,True
37,298,37,gpt-3.5,paper,no_prompt,False
38,299,38,gpt-3.5,paper,no_prompt,True
39,300,39,gpt-3.5,paper,no_prompt,False
40,301,40,gpt-3.5,paper,no_prompt,True
41,302,41,gpt-3.5,paper,no_prompt,False
42,303,42,gpt-3.5,paper,no_prompt,False
