,question_id,model,prompt_type,correct_answer
0,0,mistral,doctor,False
1,1,mistral,doctor,False
2,2,mistral,doctor,False
3,3,mistral,doctor,True
4,4,mistral,doctor,False
5,5,mistral,doctor,False
6,6,mistral,doctor,True
7,7,mistral,doctor,True
8,8,mistral,doctor,True
9,9,mistral,doctor,False
10,10,mistral,doctor,False
11,11,mistral,doctor,True
12,12,mistral,doctor,True
13,13,mistral,doctor,False
14,14,mistral,doctor,False
15,15,mistral,doctor,False
16,16,mistral,doctor,True
17,17,mistral,doctor,False
18,18,mistral,doctor,False
19,19,mistral,doctor,False
20,20,mistral,doctor,False
21,21,mistral,doctor,False
22,22,mistral,doctor,False
23,23,mistral,doctor,False
24,24,mistral,doctor,True
25,25,mistral,doctor,True
26,26,mistral,doctor,True
27,27,mistral,doctor,False
28,28,mistral,doctor,False
29,29,mistral,doctor,False
30,30,mistral,doctor,False
31,31,mistral,doctor,False
32,32,mistral,doctor,False
33,33,mistral,doctor,False
34,34,mistral,doctor,True
35,35,mistral,doctor,False
36,36,mistral,doctor,True
37,37,mistral,doctor,False
38,38,mistral,doctor,True
39,39,mistral,doctor,False
40,40,mistral,doctor,False
41,41,mistral,doctor,False
42,42,mistral,doctor,False
43,43,mistral,doctor,False
44,44,mistral,doctor,True
45,45,mistral,doctor,False
46,46,mistral,doctor,False
47,47,mistral,doctor,False
48,48,mistral,doctor,False
49,49,mistral,doctor,False
50,50,mistral,doctor,False
51,51,mistral,doctor,False
52,52,mistral,doctor,False
53,53,mistral,doctor,True
54,54,mistral,doctor,True
55,55,mistral,doctor,False
56,56,mistral,doctor,False
57,57,mistral,doctor,False
58,58,mistral,doctor,False
59,59,mistral,doctor,True
60,60,mistral,doctor,True
61,61,mistral,doctor,False
62,62,mistral,doctor,False
63,63,mistral,doctor,False
64,64,mistral,doctor,False
65,65,mistral,doctor,True
66,66,mistral,doctor,True
67,67,mistral,doctor,False
68,68,mistral,doctor,True
69,69,mistral,doctor,True
70,70,mistral,doctor,True
71,71,mistral,doctor,False
72,72,mistral,doctor,False
73,73,mistral,doctor,True
74,74,mistral,doctor,False
75,75,mistral,doctor,False
76,76,mistral,doctor,False
77,77,mistral,doctor,False
78,78,mistral,doctor,False
79,79,mistral,doctor,False
80,80,mistral,doctor,False
81,81,mistral,doctor,False
82,82,mistral,doctor,False
83,83,mistral,doctor,True
84,84,mistral,doctor,True
85,85,mistral,doctor,False
86,86,mistral,doctor,True
87,0,mistral,healthcare,False
88,1,mistral,healthcare,False
89,2,mistral,healthcare,False
90,3,mistral,healthcare,False
91,4,mistral,healthcare,False
92,5,mistral,healthcare,False
93,6,mistral,healthcare,False
94,7,mistral,healthcare,False
95,8,mistral,healthcare,True
96,9,mistral,healthcare,True
97,10,mistral,healthcare,True
98,11,mistral,healthcare,True
99,12,mistral,healthcare,True
100,13,mistral,healthcare,False
101,14,mistral,healthcare,False
102,15,mistral,healthcare,False
103,16,mistral,healthcare,True
104,17,mistral,healthcare,False
105,18,mistral,healthcare,True
106,19,mistral,healthcare,True
107,20,mistral,healthcare,False
108,21,mistral,healthcare,False
109,22,mistral,healthcare,False
110,23,mistral,healthcare,False
111,24,mistral,healthcare,False
112,25,mistral,healthcare,True
113,26,mistral,healthcare,True
114,27,mistral,healthcare,False
115,28,mistral,healthcare,False
116,29,mistral,healthcare,False
117,30,mistral,healthcare,False
118,31,mistral,healthcare,True
119,32,mistral,healthcare,False
120,33,mistral,healthcare,False
121,34,mistral,healthcare,False
122,35,mistral,healthcare,False
123,36,mistral,healthcare,True
124,37,mistral,healthcare,False
125,38,mistral,healthcare,True
126,39,mistral,healthcare,True
127,40,mistral,healthcare,True
128,41,mistral,healthcare,False
129,42,mistral,healthcare,False
130,43,mistral,healthcare,False
131,44,mistral,healthcare,True
132,45,mistral,healthcare,False
133,46,mistral,healthcare,True
134,47,mistral,healthcare,False
135,48,mistral,healthcare,False
136,49,mistral,healthcare,False
137,50,mistral,healthcare,True
138,51,mistral,healthcare,False
139,52,mistral,healthcare,False
140,53,mistral,healthcare,False
141,54,mistral,healthcare,False
142,55,mistral,healthcare,False
143,56,mistral,healthcare,True
144,57,mistral,healthcare,True
145,58,mistral,healthcare,False
146,59,mistral,healthcare,True
147,60,mistral,healthcare,True
148,61,mistral,healthcare,True
149,62,mistral,healthcare,True
150,63,mistral,healthcare,False
151,64,mistral,healthcare,False
152,65,mistral,healthcare,False
153,66,mistral,healthcare,False
154,67,mistral,healthcare,True
155,68,mistral,healthcare,False
156,69,mistral,healthcare,True
157,70,mistral,healthcare,False
158,71,mistral,healthcare,True
159,72,mistral,healthcare,False
160,73,mistral,healthcare,True
161,74,mistral,healthcare,True
162,75,mistral,healthcare,False
163,76,mistral,healthcare,False
164,77,mistral,healthcare,False
165,78,mistral,healthcare,False
166,79,mistral,healthcare,True
167,80,mistral,healthcare,False
168,81,mistral,healthcare,False
169,82,mistral,healthcare,False
170,83,mistral,healthcare,False
171,84,mistral,healthcare,False
172,85,mistral,healthcare,False
173,86,mistral,healthcare,True
174,0,gpt-3.5,healthcare,False
175,1,gpt-3.5,healthcare,False
176,2,gpt-3.5,healthcare,True
177,3,gpt-3.5,healthcare,False
178,4,gpt-3.5,healthcare,False
179,5,gpt-3.5,healthcare,False
180,6,gpt-3.5,healthcare,False
181,7,gpt-3.5,healthcare,False
182,8,gpt-3.5,healthcare,True
183,9,gpt-3.5,healthcare,True
184,10,gpt-3.5,healthcare,False
185,11,gpt-3.5,healthcare,True
186,12,gpt-3.5,healthcare,True
187,13,gpt-3.5,healthcare,False
188,14,gpt-3.5,healthcare,True
189,15,gpt-3.5,healthcare,False
190,16,gpt-3.5,healthcare,True
191,17,gpt-3.5,healthcare,False
192,18,gpt-3.5,healthcare,False
193,19,gpt-3.5,healthcare,False
194,20,gpt-3.5,healthcare,True
195,21,gpt-3.5,healthcare,False
196,22,gpt-3.5,healthcare,True
197,23,gpt-3.5,healthcare,False
198,24,gpt-3.5,healthcare,False
199,25,gpt-3.5,healthcare,False
200,26,gpt-3.5,healthcare,False
201,27,gpt-3.5,healthcare,False
202,28,gpt-3.5,healthcare,True
203,29,gpt-3.5,healthcare,True
204,30,gpt-3.5,healthcare,True
205,31,gpt-3.5,healthcare,True
206,32,gpt-3.5,healthcare,True
207,33,gpt-3.5,healthcare,True
208,34,gpt-3.5,healthcare,False
209,35,gpt-3.5,healthcare,True
210,36,gpt-3.5,healthcare,True
211,37,gpt-3.5,healthcare,True
212,38,gpt-3.5,healthcare,True
213,39,gpt-3.5,healthcare,False
214,40,gpt-3.5,healthcare,True
215,41,gpt-3.5,healthcare,True
216,42,gpt-3.5,healthcare,True
217,43,gpt-3.5,healthcare,False
218,44,gpt-3.5,healthcare,True
219,45,gpt-3.5,healthcare,False
220,46,gpt-3.5,healthcare,True
221,47,gpt-3.5,healthcare,True
222,48,gpt-3.5,healthcare,True
223,49,gpt-3.5,healthcare,False
224,50,gpt-3.5,healthcare,False
225,51,gpt-3.5,healthcare,True
226,52,gpt-3.5,healthcare,False
227,53,gpt-3.5,healthcare,True
228,54,gpt-3.5,healthcare,True
229,55,gpt-3.5,healthcare,True
230,56,gpt-3.5,healthcare,True
231,57,gpt-3.5,healthcare,False
232,58,gpt-3.5,healthcare,True
233,59,gpt-3.5,healthcare,False
234,60,gpt-3.5,healthcare,True
235,61,gpt-3.5,healthcare,True
236,62,gpt-3.5,healthcare,True
237,63,gpt-3.5,healthcare,True
238,64,gpt-3.5,healthcare,False
239,65,gpt-3.5,healthcare,True
240,66,gpt-3.5,healthcare,False
241,67,gpt-3.5,healthcare,True
242,68,gpt-3.5,healthcare,True
243,69,gpt-3.5,healthcare,False
244,70,gpt-3.5,healthcare,True
245,71,gpt-3.5,healthcare,False
246,72,gpt-3.5,healthcare,False
247,73,gpt-3.5,healthcare,True
248,74,gpt-3.5,healthcare,True
249,75,gpt-3.5,healthcare,False
250,76,gpt-3.5,healthcare,False
251,77,gpt-3.5,healthcare,False
252,78,gpt-3.5,healthcare,False
253,79,gpt-3.5,healthcare,False
254,80,gpt-3.5,healthcare,False
255,81,gpt-3.5,healthcare,True
256,82,gpt-3.5,healthcare,False
257,83,gpt-3.5,healthcare,True
258,84,gpt-3.5,healthcare,True
259,85,gpt-3.5,healthcare,True
260,86,gpt-3.5,healthcare,False
261,0,gpt-3.5,doctor,False
262,1,gpt-3.5,doctor,False
263,2,gpt-3.5,doctor,True
264,3,gpt-3.5,doctor,False
265,4,gpt-3.5,doctor,True
266,5,gpt-3.5,doctor,False
267,6,gpt-3.5,doctor,False
268,7,gpt-3.5,doctor,True
269,8,gpt-3.5,doctor,True
270,9,gpt-3.5,doctor,True
271,10,gpt-3.5,doctor,False
272,11,gpt-3.5,doctor,True
273,12,gpt-3.5,doctor,True
274,13,gpt-3.5,doctor,False
275,14,gpt-3.5,doctor,True
276,15,gpt-3.5,doctor,False
277,16,gpt-3.5,doctor,True
278,17,gpt-3.5,doctor,False
279,18,gpt-3.5,doctor,False
280,19,gpt-3.5,doctor,False
281,20,gpt-3.5,doctor,True
282,21,gpt-3.5,doctor,False
283,22,gpt-3.5,doctor,True
284,23,gpt-3.5,doctor,True
285,24,gpt-3.5,doctor,True
286,25,gpt-3.5,doctor,False
287,26,gpt-3.5,doctor,False
288,27,gpt-3.5,doctor,False
289,28,gpt-3.5,doctor,True
290,29,gpt-3.5,doctor,True
291,30,gpt-3.5,doctor,True
292,31,gpt-3.5,doctor,False
293,32,gpt-3.5,doctor,True
294,33,gpt-3.5,doctor,True
295,34,gpt-3.5,doctor,False
296,35,gpt-3.5,doctor,True
297,36,gpt-3.5,doctor,True
298,37,gpt-3.5,doctor,True
299,38,gpt-3.5,doctor,True
300,39,gpt-3.5,doctor,False
301,40,gpt-3.5,doctor,True
302,41,gpt-3.5,doctor,False
303,42,gpt-3.5,doctor,False
304,43,gpt-3.5,doctor,False
305,44,gpt-3.5,doctor,True
306,45,gpt-3.5,doctor,True
307,46,gpt-3.5,doctor,True
308,47,gpt-3.5,doctor,True
309,48,gpt-3.5,doctor,True
310,49,gpt-3.5,doctor,True
311,50,gpt-3.5,doctor,False
312,51,gpt-3.5,doctor,True
313,52,gpt-3.5,doctor,False
