,question_id,model,syntax,prompt_type,correct_answer
0,0,gpt-3.5,paper,healthcare_assistant,False
1,1,gpt-3.5,paper,healthcare_assistant,False
2,2,gpt-3.5,paper,healthcare_assistant,True
3,3,gpt-3.5,paper,healthcare_assistant,False
4,4,gpt-3.5,paper,healthcare_assistant,False
5,5,gpt-3.5,paper,healthcare_assistant,False
6,6,gpt-3.5,paper,healthcare_assistant,False
7,7,gpt-3.5,paper,healthcare_assistant,False
8,8,gpt-3.5,paper,healthcare_assistant,True
9,9,gpt-3.5,paper,healthcare_assistant,True
10,10,gpt-3.5,paper,healthcare_assistant,False
11,11,gpt-3.5,paper,healthcare_assistant,True
12,12,gpt-3.5,paper,healthcare_assistant,True
13,13,gpt-3.5,paper,healthcare_assistant,False
14,14,gpt-3.5,paper,healthcare_assistant,True
15,15,gpt-3.5,paper,healthcare_assistant,False
16,16,gpt-3.5,paper,healthcare_assistant,True
17,17,gpt-3.5,paper,healthcare_assistant,False
18,18,gpt-3.5,paper,healthcare_assistant,False
19,19,gpt-3.5,paper,healthcare_assistant,False
20,20,gpt-3.5,paper,healthcare_assistant,True
21,21,gpt-3.5,paper,healthcare_assistant,False
22,22,gpt-3.5,paper,healthcare_assistant,True
23,23,gpt-3.5,paper,healthcare_assistant,False
24,24,gpt-3.5,paper,healthcare_assistant,False
25,25,gpt-3.5,paper,healthcare_assistant,False
26,26,gpt-3.5,paper,healthcare_assistant,False
27,27,gpt-3.5,paper,healthcare_assistant,False
28,28,gpt-3.5,paper,healthcare_assistant,True
29,29,gpt-3.5,paper,healthcare_assistant,True
30,30,gpt-3.5,paper,healthcare_assistant,True
31,31,gpt-3.5,paper,healthcare_assistant,True
32,32,gpt-3.5,paper,healthcare_assistant,True
33,33,gpt-3.5,paper,healthcare_assistant,True
34,34,gpt-3.5,paper,healthcare_assistant,False
35,35,gpt-3.5,paper,healthcare_assistant,True
36,36,gpt-3.5,paper,healthcare_assistant,True
37,37,gpt-3.5,paper,healthcare_assistant,True
38,38,gpt-3.5,paper,healthcare_assistant,True
39,39,gpt-3.5,paper,healthcare_assistant,False
40,40,gpt-3.5,paper,healthcare_assistant,True
41,41,gpt-3.5,paper,healthcare_assistant,True
42,42,gpt-3.5,paper,healthcare_assistant,True
43,43,gpt-3.5,paper,healthcare_assistant,False
44,44,gpt-3.5,paper,healthcare_assistant,True
45,45,gpt-3.5,paper,healthcare_assistant,False
46,46,gpt-3.5,paper,healthcare_assistant,True
47,47,gpt-3.5,paper,healthcare_assistant,True
48,48,gpt-3.5,paper,healthcare_assistant,True
49,49,gpt-3.5,paper,healthcare_assistant,False
50,50,gpt-3.5,paper,healthcare_assistant,False
51,51,gpt-3.5,paper,healthcare_assistant,True
52,52,gpt-3.5,paper,healthcare_assistant,False
53,53,gpt-3.5,paper,healthcare_assistant,True
54,54,gpt-3.5,paper,healthcare_assistant,True
55,55,gpt-3.5,paper,healthcare_assistant,True
56,56,gpt-3.5,paper,healthcare_assistant,True
57,57,gpt-3.5,paper,healthcare_assistant,False
58,58,gpt-3.5,paper,healthcare_assistant,True
59,59,gpt-3.5,paper,healthcare_assistant,False
60,60,gpt-3.5,paper,healthcare_assistant,True
61,61,gpt-3.5,paper,healthcare_assistant,True
62,62,gpt-3.5,paper,healthcare_assistant,True
63,63,gpt-3.5,paper,healthcare_assistant,True
64,64,gpt-3.5,paper,healthcare_assistant,False
65,65,gpt-3.5,paper,healthcare_assistant,True
66,66,gpt-3.5,paper,healthcare_assistant,False
67,67,gpt-3.5,paper,healthcare_assistant,True
68,68,gpt-3.5,paper,healthcare_assistant,True
69,69,gpt-3.5,paper,healthcare_assistant,False
70,70,gpt-3.5,paper,healthcare_assistant,True
71,71,gpt-3.5,paper,healthcare_assistant,False
72,72,gpt-3.5,paper,healthcare_assistant,False
73,73,gpt-3.5,paper,healthcare_assistant,True
74,74,gpt-3.5,paper,healthcare_assistant,True
75,75,gpt-3.5,paper,healthcare_assistant,False
76,76,gpt-3.5,paper,healthcare_assistant,False
77,77,gpt-3.5,paper,healthcare_assistant,False
78,78,gpt-3.5,paper,healthcare_assistant,False
79,79,gpt-3.5,paper,healthcare_assistant,False
80,80,gpt-3.5,paper,healthcare_assistant,False
81,81,gpt-3.5,paper,healthcare_assistant,True
82,82,gpt-3.5,paper,healthcare_assistant,False
83,83,gpt-3.5,paper,healthcare_assistant,True
84,84,gpt-3.5,paper,healthcare_assistant,True
85,85,gpt-3.5,paper,healthcare_assistant,True
86,86,gpt-3.5,paper,healthcare_assistant,False
87,0,gpt-3.5,paper,mad_scientist,False
88,1,gpt-3.5,paper,mad_scientist,True
89,2,gpt-3.5,paper,mad_scientist,True
90,3,gpt-3.5,paper,mad_scientist,False
91,4,gpt-3.5,paper,mad_scientist,True
92,5,gpt-3.5,paper,mad_scientist,False
93,6,gpt-3.5,paper,mad_scientist,False
94,7,gpt-3.5,paper,mad_scientist,False
95,8,gpt-3.5,paper,mad_scientist,True
96,9,gpt-3.5,paper,mad_scientist,True
97,10,gpt-3.5,paper,mad_scientist,False
98,11,gpt-3.5,paper,mad_scientist,True
99,12,gpt-3.5,paper,mad_scientist,True
100,13,gpt-3.5,paper,mad_scientist,False
101,14,gpt-3.5,paper,mad_scientist,True
102,15,gpt-3.5,paper,mad_scientist,False
103,16,gpt-3.5,paper,mad_scientist,True
104,17,gpt-3.5,paper,mad_scientist,False
105,18,gpt-3.5,paper,mad_scientist,False
106,19,gpt-3.5,paper,mad_scientist,False
107,20,gpt-3.5,paper,mad_scientist,True
108,21,gpt-3.5,paper,mad_scientist,False
109,22,gpt-3.5,paper,mad_scientist,True
110,23,gpt-3.5,paper,mad_scientist,True
111,24,gpt-3.5,paper,mad_scientist,True
112,25,gpt-3.5,paper,mad_scientist,False
113,26,gpt-3.5,paper,mad_scientist,False
114,27,gpt-3.5,paper,mad_scientist,False
115,28,gpt-3.5,paper,mad_scientist,True
116,29,gpt-3.5,paper,mad_scientist,True
117,30,gpt-3.5,paper,mad_scientist,True
118,31,gpt-3.5,paper,mad_scientist,True
119,32,gpt-3.5,paper,mad_scientist,True
120,33,gpt-3.5,paper,mad_scientist,False
121,34,gpt-3.5,paper,mad_scientist,False
122,35,gpt-3.5,paper,mad_scientist,True
123,36,gpt-3.5,paper,mad_scientist,True
124,37,gpt-3.5,paper,mad_scientist,True
125,38,gpt-3.5,paper,mad_scientist,True
126,39,gpt-3.5,paper,mad_scientist,False
127,40,gpt-3.5,paper,mad_scientist,True
128,41,gpt-3.5,paper,mad_scientist,True
129,42,gpt-3.5,paper,mad_scientist,False
130,43,gpt-3.5,paper,mad_scientist,False
131,44,gpt-3.5,paper,mad_scientist,True
132,45,gpt-3.5,paper,mad_scientist,True
133,46,gpt-3.5,paper,mad_scientist,True
134,47,gpt-3.5,paper,mad_scientist,True
135,48,gpt-3.5,paper,mad_scientist,False
136,49,gpt-3.5,paper,mad_scientist,True
137,50,gpt-3.5,paper,mad_scientist,False
138,51,gpt-3.5,paper,mad_scientist,True
139,52,gpt-3.5,paper,mad_scientist,True
140,53,gpt-3.5,paper,mad_scientist,False
141,54,gpt-3.5,paper,mad_scientist,True
142,55,gpt-3.5,paper,mad_scientist,True
143,56,gpt-3.5,paper,mad_scientist,True
144,57,gpt-3.5,paper,mad_scientist,False
145,58,gpt-3.5,paper,mad_scientist,True
146,59,gpt-3.5,paper,mad_scientist,False
