,question_id,model,syntax,prompt_type,correct_answer
174,0,opus,paper,no_prompt,False
175,1,opus,paper,no_prompt,False
176,2,opus,paper,no_prompt,True
177,3,opus,paper,no_prompt,False
178,4,opus,paper,no_prompt,True
179,5,opus,paper,no_prompt,False
180,6,opus,paper,no_prompt,False
181,7,opus,paper,no_prompt,False
182,8,opus,paper,no_prompt,True
183,9,opus,paper,no_prompt,True
184,10,opus,paper,no_prompt,False
185,11,opus,paper,no_prompt,False
186,12,opus,paper,no_prompt,True
187,13,opus,paper,no_prompt,True
188,14,opus,paper,no_prompt,True
189,15,opus,paper,no_prompt,False
190,16,opus,paper,no_prompt,True
191,17,opus,paper,no_prompt,True
192,18,opus,paper,no_prompt,False
193,19,opus,paper,no_prompt,False
194,20,opus,paper,no_prompt,True
195,21,opus,paper,no_prompt,True
196,22,opus,paper,no_prompt,True
197,23,opus,paper,no_prompt,True
198,24,opus,paper,no_prompt,True
199,25,opus,paper,no_prompt,True
200,26,opus,paper,no_prompt,True
201,27,opus,paper,no_prompt,True
202,28,opus,paper,no_prompt,True
203,29,opus,paper,no_prompt,False
204,30,opus,paper,no_prompt,True
205,31,opus,paper,no_prompt,True
206,32,opus,paper,no_prompt,False
207,33,opus,paper,no_prompt,True
208,34,opus,paper,no_prompt,True
209,35,opus,paper,no_prompt,True
210,36,opus,paper,no_prompt,True
211,37,opus,paper,no_prompt,True
212,38,opus,paper,no_prompt,False
213,39,opus,paper,no_prompt,False
214,40,opus,paper,no_prompt,True
215,41,opus,paper,no_prompt,False
216,42,opus,paper,no_prompt,False
217,43,opus,paper,no_prompt,False
218,44,opus,paper,no_prompt,True
219,45,opus,paper,no_prompt,False
220,46,opus,paper,no_prompt,True
221,47,opus,paper,no_prompt,True
222,48,opus,paper,no_prompt,False
223,49,opus,paper,no_prompt,True
224,50,opus,paper,no_prompt,False
225,51,opus,paper,no_prompt,True
226,52,opus,paper,no_prompt,True
227,53,opus,paper,no_prompt,True
228,54,opus,paper,no_prompt,True
229,55,opus,paper,no_prompt,True
230,56,opus,paper,no_prompt,False
231,57,opus,paper,no_prompt,False
232,58,opus,paper,no_prompt,True
233,59,opus,paper,no_prompt,True
234,60,opus,paper,no_prompt,True
235,61,opus,paper,no_prompt,False
236,62,opus,paper,no_prompt,True
237,63,opus,paper,no_prompt,True
238,64,opus,paper,no_prompt,False
239,65,opus,paper,no_prompt,True
240,66,opus,paper,no_prompt,True
241,67,opus,paper,no_prompt,True
242,68,opus,paper,no_prompt,True
243,69,opus,paper,no_prompt,True
244,70,opus,paper,no_prompt,True
245,71,opus,paper,no_prompt,False
246,72,opus,paper,no_prompt,True
247,73,opus,paper,no_prompt,True
248,74,opus,paper,no_prompt,True
249,75,opus,paper,no_prompt,True
250,76,opus,paper,no_prompt,True
251,77,opus,paper,no_prompt,False
252,78,opus,paper,no_prompt,False
253,79,opus,paper,no_prompt,True
254,80,opus,paper,no_prompt,True
255,81,opus,paper,no_prompt,True
256,82,opus,paper,no_prompt,False
257,83,opus,paper,no_prompt,True
258,84,opus,paper,no_prompt,True
259,85,opus,paper,no_prompt,True
260,86,opus,paper,no_prompt,False
261,0,opus,paper,deontology,False
262,1,opus,paper,deontology,False
263,2,opus,paper,deontology,True
264,3,opus,paper,deontology,False
265,4,opus,paper,deontology,True
266,5,opus,paper,deontology,False
267,6,opus,paper,deontology,False
268,7,opus,paper,deontology,True
269,8,opus,paper,deontology,True
270,9,opus,paper,deontology,True
271,10,opus,paper,deontology,False
272,11,opus,paper,deontology,True
273,12,opus,paper,deontology,True
274,13,opus,paper,deontology,False
275,14,opus,paper,deontology,True
276,15,opus,paper,deontology,True
277,16,opus,paper,deontology,True
278,17,opus,paper,deontology,True
279,18,opus,paper,deontology,False
280,19,opus,paper,deontology,False
281,20,opus,paper,deontology,True
282,21,opus,paper,deontology,False
283,22,opus,paper,deontology,True
284,23,opus,paper,deontology,True
285,24,opus,paper,deontology,True
286,25,opus,paper,deontology,True
287,26,opus,paper,deontology,True
288,27,opus,paper,deontology,True
289,28,opus,paper,deontology,False
290,29,opus,paper,deontology,True
291,30,opus,paper,deontology,True
292,31,opus,paper,deontology,True
293,32,opus,paper,deontology,True
294,33,opus,paper,deontology,False
295,34,opus,paper,deontology,True
296,35,opus,paper,deontology,True
297,36,opus,paper,deontology,True
298,37,opus,paper,deontology,True
299,38,opus,paper,deontology,False
